IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.19.20.10,159,164,162,0
104.19.70.24,158,173,164,0
104.19.61.134,156,188,164,0
104.19.47.232,156,172,164,0
104.19.41.74,156,184,164,0
104.19.69.171,158,179,164,0
104.19.210.184,155,172,164,0
104.19.33.44,156,188,165,0
104.19.43.126,156,184,165,0
104.19.49.143,154,182,165,0
104.18.248.62,157,188,165,0
104.16.83.111,159,204,165,0
104.19.122.160,160,172,165,0
104.19.99.199,155,182,165,0
104.19.123.224,159,180,165,0
104.19.56.95,160,177,166,0
104.19.84.117,160,186,166,0
104.19.13.251,157,173,166,0
104.19.26.112,156,178,166,0
104.19.83.214,156,178,166,0
104.19.42.114,157,184,166,0
104.19.0.70,156,177,166,0
104.19.80.245,161,182,166,0
104.17.23.227,159,185,167,0
104.19.86.43,155,191,167,0
104.19.59.216,158,179,167,0
104.17.226.141,157,201,167,0
104.19.68.147,159,176,167,0
104.19.98.183,160,190,167,0
104.19.22.71,160,180,167,0
104.19.58.18,160,185,168,0
104.19.100.249,162,177,168,0
104.19.19.184,161,181,168,0
104.19.103.226,160,181,168,0
104.19.125.145,156,186,168,0
104.19.55.166,155,185,168,0
104.18.162.44,158,181,168,0
104.19.126.11,163,178,168,0
104.19.89.46,159,181,168,0
104.16.241.119,160,177,169,0
104.19.220.183,155,190,169,0
23.227.39.203,160,184,169,0
104.19.110.77,155,183,169,0
104.19.81.187,161,186,169,0
104.19.92.5,155,196,169,0
104.17.87.79,156,208,169,0
104.19.28.11,159,181,169,0
104.19.104.5,159,186,169,0
104.19.57.143,160,190,170,0
104.19.30.218,159,189,170,0
104.17.137.149,158,201,170,0
104.19.36.210,157,197,170,0
104.19.73.97,162,186,170,0
104.19.114.68,156,199,170,0
104.16.37.113,159,227,170,0
104.16.167.190,158,246,171,0
104.17.21.125,161,189,171,0
104.19.3.196,165,182,171,0
104.16.236.152,163,193,171,0
104.19.66.40,161,189,171,0
104.19.29.141,162,192,171,0
104.18.144.221,162,180,172,0
104.16.6.81,159,195,172,0
104.19.151.153,160,201,172,0
104.19.15.32,156,200,172,0
104.16.92.44,157,197,172,0
104.19.148.0,160,184,172,0
104.19.206.29,160,204,172,0
104.18.161.57,161,197,173,0
104.16.52.83,158,191,173,0
104.19.65.92,158,204,173,0
104.16.79.43,163,192,173,0
104.16.2.32,156,202,173,0
104.19.184.178,160,209,173,0
104.16.206.51,159,195,173,0
104.19.77.43,166,183,173,0
104.18.39.139,167,192,174,0
104.16.86.143,155,252,174,0
104.16.91.102,164,185,174,0
104.17.125.233,159,221,174,0
104.19.109.154,165,182,174,0
104.18.201.100,161,240,175,0
104.16.149.47,161,210,175,0
104.19.144.16,157,223,175,0
104.19.93.106,167,188,175,0
104.19.88.32,167,192,175,0
104.18.157.15,166,196,175,0
104.19.39.68,158,237,175,0
104.17.40.145,161,196,175,0
104.18.215.113,159,248,175,0
104.19.211.242,159,208,176,0
104.19.185.96,158,213,176,0
104.19.2.217,165,195,176,0
104.16.77.123,158,201,176,0
104.18.230.226,159,219,176,0
104.17.154.231,159,218,176,0
104.18.147.238,159,206,177,0
104.18.236.149,159,212,177,0
104.17.79.32,169,188,177,0
104.16.61.84,159,215,177,0
104.19.168.89,158,207,177,0
104.17.24.11,162,223,178,0
104.19.95.21,162,244,178,0
104.19.202.33,156,241,178,0
104.18.168.214,155,211,178,0
104.17.57.85,161,226,178,0
104.17.194.32,156,245,178,0
104.18.250.83,159,264,178,0
104.16.102.113,160,215,178,0
104.16.72.155,161,204,178,0
104.19.8.217,162,213,178,0
104.19.121.250,168,197,178,0
104.19.164.74,163,211,179,0
104.17.90.138,160,207,179,0
104.16.35.232,157,295,179,0
104.17.13.185,160,218,179,0
104.19.5.239,168,212,179,0
104.17.101.144,159,282,179,0
104.16.53.32,158,298,179,0
104.19.48.193,169,198,180,0
104.19.249.143,167,200,180,0
104.17.92.195,161,242,180,0
104.16.157.68,161,237,180,0
104.19.203.61,162,205,181,0
104.18.237.222,162,234,181,0
104.16.201.161,153,268,181,0
104.19.214.19,163,224,181,0
104.18.128.45,159,220,182,0
104.16.141.202,159,282,182,0
104.16.229.236,159,261,182,0
104.18.159.17,159,237,182,0
104.16.4.211,155,260,182,0
104.16.104.189,166,201,182,0
104.16.20.125,162,288,182,0
104.16.45.24,160,237,182,0
104.18.203.206,163,259,183,0
104.17.75.139,162,243,183,0
104.16.25.115,163,216,183,0
104.17.78.22,164,221,183,0
104.17.152.23,160,258,183,0
104.19.218.173,160,221,183,0
104.17.17.165,157,264,184,0
104.18.67.114,160,272,184,0
104.16.186.184,157,299,184,0
104.19.213.93,161,269,184,0
104.16.7.251,170,217,185,0
104.16.57.101,160,288,185,0
104.16.131.105,161,221,185,0
104.18.253.191,167,243,186,0
104.17.65.142,167,227,186,0
104.18.152.14,160,232,186,0
104.16.176.217,164,217,186,0
104.17.146.143,162,222,187,0
104.18.68.186,157,284,187,0
104.19.118.214,181,202,187,0
104.16.199.62,158,273,187,0
104.16.89.74,158,229,187,0
104.18.190.15,163,279,188,0
104.19.231.213,160,221,188,0
104.16.119.31,171,206,188,0
104.17.191.41,161,275,188,0
104.16.193.214,156,299,188,0
104.18.231.150,167,235,189,0
104.17.252.18,161,291,189,0
104.17.161.251,159,255,189,0
104.19.223.68,159,268,189,0
104.17.115.50,161,216,189,0
104.18.114.118,181,202,189,0
104.19.85.17,184,206,190,0
104.16.120.150,176,202,190,0
104.19.97.153,182,216,190,0
104.16.68.10,159,265,191,0
104.17.34.115,162,259,191,0
104.16.208.38,159,262,191,0
104.17.211.54,160,214,191,0
104.17.236.186,168,228,192,0
104.18.145.186,163,269,192,0
104.16.74.97,171,298,192,0
104.19.248.55,168,210,192,0
104.19.24.135,182,207,192,0
104.19.16.46,180,210,192,0
104.16.204.159,156,236,193,0
104.17.72.122,163,267,193,0
104.18.47.247,161,298,193,0
104.17.202.173,161,280,193,0
104.18.0.249,158,290,193,0
104.19.251.94,173,226,193,0
